Tipo de Cultivo,Región,Rendimiento (Ton/Ha),Uso de Fertilizante (kg/Ha),Uso de Agua (L/Ha),Uso de Tecnología,Certificación Orgánica,Costo de Producción (USD/Ha),Precio de Mercado (USD/Ton),Margen de Beneficio (USD)
Soja,Oeste,11.943325471047237,103.79701719442458,1514.0014129356407,0,1,4564.1797640448185,79.46272663056452,-3615.1305570791337
Arroz,Norte,6.953086486765641,88.12454736046081,4244.8167069440115,0,1,3277.686704437814,188.06452827677742,-1970.0577742365983
Caña de Azúcar,Oeste,10.417326751011888,94.29358826284081,4282.557902975821,0,1,4912.0822629157,21.356185364133452,-4689.6079018223445
Arroz,Sur,10.35441329259221,98.38261463579008,3503.758680406291,0,1,3236.3953229384833,60.55990358825508,-2609.333052226152
Arroz,Norte,6.751749736497459,177.30046923870117,4281.707375085072,1,0,3364.8994473002717,85.76422754133037,-2785.840846597186
Trigo,Centro,7.475454208251836,70.49319971630432,3605.939087431152,1,0,2996.6702384400155,107.80576414557282,-2190.773185184188
Caña de Azúcar,Este,10.693235445057411,156.3366495365178,1826.7374395069814,0,0,909.5094097309862,173.14715321050633,941.9938661903863
Caña de Azúcar,Oeste,11.525330369233481,132.92299653618616,2095.844509284535,0,0,3768.786646926027,35.8197724172259,-3355.951936066742
Caña de Azúcar,Este,6.497201672558473,94.47652154716977,1858.3564788334966,1,1,2963.508381046002,165.05567961340583,-1891.108343396506
Arroz,Este,6.021270949863216,112.96712846694147,2509.0363329119036,0,0,2529.09701337247,30.017628084255563,-2348.3527414049436
Soja,Norte,9.457817090287516,88.43104153916872,1155.8525292409345,0,1,4597.120752814729,171.6165263536727,-2974.0030368911853
Caña de Azúcar,Este,11.310549501714766,141.7270566298521,3473.0155373515713,1,0,1840.8175319387772,29.29438601741231,-1509.4819287664943
Arroz,Centro,6.034110439534556,62.239127060036054,2346.216859554906,0,1,2856.2102420675506,23.28364665710499,-2715.7141467034794
Trigo,Este,3.7849669970533264,50.77772941609802,3622.8905415229688,1,1,3639.388421720585,145.45306322595587,-3088.853377790031
Soja,Norte,12.40786936076274,144.18416224229543,2541.58648386226,0,0,4084.1229905324476,199.50599625831097,-1608.6786522705052
Trigo,Centro,6.763398029236305,79.14109302680633,3726.454675891159,1,0,2567.060635757776,181.38984733532374,-1340.248899766573
Soja,Sur,7.354833555219624,60.64113754998915,2362.49827785696,1,0,4289.411367584194,123.6797152050188,-3379.7676480943146
Arroz,Este,10.892032328900289,109.51757408208326,2042.7781129436125,1,0,3960.129835919289,185.1312103553957,-1943.674707639879
Maíz,Norte,8.557826529432436,57.61527965590954,2984.149817173625,0,1,798.0619003333964,20.954001151568974,-618.7411933807416
Soja,Sur,11.541580400778157,182.99257234259898,3771.5614347677574,1,0,706.3756988208482,195.51208933012566,1550.1427995069184
Trigo,Sur,4.755423281522823,54.14251578105571,2393.3464178127897,0,0,3293.6255798994107,108.3347802665812,-2778.447843621051
Arroz,Oeste,9.068178477143203,136.8297343261338,4746.592607422829,0,1,2063.3603370143637,150.12129739191963,-702.0336190441442
Soja,Centro,9.881697563814917,115.77111845271304,1156.745306702585,0,0,1441.0885598533137,167.75506516760345,216.6162589310061
Maíz,Este,6.844478580263996,150.80392029427992,2671.784126862315,0,0,3108.4247051228226,149.32230875057965,-2086.3913613239133
Maíz,Norte,5.3840974191916855,99.22290012120979,4870.322206080989,1,0,2037.0344470544526,116.3066117680839,-1410.8283187989828
Caña de Azúcar,Oeste,11.322471596818719,73.25624250916164,3191.8875329923494,1,0,2917.685375213315,105.79150714275416,-1719.8640404048367
Caña de Azúcar,Centro,10.078609795099707,197.27613324657966,2693.883769232474,0,0,2570.5362154260742,170.94486056647247,-847.6496692988712
Trigo,Oeste,7.603433904851362,175.84002531040449,3274.0811349998335,0,1,3131.4474767711918,56.91396082690264,-2698.705937360538
Soja,Centro,13.55124345299842,179.0606927467513,3303.6983010323383,1,0,2301.352200096266,194.23893197076217,330.8268550899302
Soja,Centro,11.474108891857941,87.5377040773796,3926.591021198561,0,0,3639.504081636193,147.9714461906147,-1941.6635951593819
Caña de Azúcar,Este,7.58285183214505,55.82521016441348,1510.7589176898623,1,0,1310.3027255718434,55.911246920897554,-886.336024420201
Soja,Centro,10.970887289534387,95.48982720098343,2000.0657968644186,0,0,3634.2565980218556,152.52449306572788,-1960.9275757043858
Soja,Oeste,6.120904148321001,130.5623640794983,3322.176049375639,0,0,2352.475464608877,115.371204172601,-1646.2993823920142
Maíz,Centro,6.210924546125578,98.99768626940613,4468.4664288388885,1,1,4434.429221844877,147.301417216,-3519.551233978938
Caña de Azúcar,Este,11.086469651144936,174.1803505681383,3247.4667685750946,0,0,2818.5622468889487,158.200310259711,-1064.67930839295
Arroz,Este,10.587917885365673,90.73143737296128,1954.3874391613608,1,1,4878.996571715469,35.71223232614158,-4500.878388343181
Caña de Azúcar,Oeste,12.746349826197049,194.78777455861547,3719.3791196009834,0,1,3208.709279934321,111.09871214468247,-1792.6062296982316
Arroz,Sur,7.607860501818706,118.58977424205928,3959.6350417894982,0,0,1507.3207965784427,187.76258160624815,-78.84926825675598
Maíz,Sur,12.628230015123624,176.30346125179722,1952.9446096159177,0,0,4198.057865800021,77.71559458871258,-3216.647461571662
Trigo,Centro,10.39056769212472,79.15700509923096,2510.9155447051794,1,0,2052.87182520074,126.89895756042179,-734.3196166091157
Soja,Norte,11.719141668937617,111.70308575850179,3137.309894122254,0,0,2064.2864651720756,86.4614866717813,-1051.032053958509
Maíz,Centro,11.381261841213131,154.9268316150791,2986.244762732311,0,1,643.121066683243,101.76823499943794,515.1298629634707
Soja,Oeste,8.766965314967234,70.7529638626702,2558.4723448768136,0,0,2969.2188914333387,118.74856122886757,-1928.1543739375938
Trigo,Oeste,8.043729238220546,69.91181333644548,2190.5406980372436,0,0,2904.9057667963534,118.80595638001591,-1949.2628217876645
Trigo,Oeste,8.886872733836421,195.43053006712384,1399.9395486474536,1,0,2101.9616792239376,56.31148321944245,-1601.5286943991873
Maíz,Oeste,12.664852852202083,157.1892656269928,1213.9411869894757,1,0,4523.977683031666,143.22287861837,-2710.0810002612097
Trigo,Oeste,10.912513244346165,56.16012751518137,4834.165987532793,0,0,1079.3677923483974,35.816260023678225,-688.5223804770627
Arroz,Este,6.46783050223411,109.82313521671918,4388.572576382359,1,0,1985.4478098956993,44.988459219563666,-1694.4700811068901
Trigo,Sur,6.743473095497373,115.02811063711131,2419.6207618508824,0,1,1947.1224410601305,20.487961894579342,-1808.9624212424594
Soja,Oeste,9.11703795768716,161.6063964498673,4827.203540505825,0,1,915.3076380293573,41.00529154550264,-541.4608385429815
Soja,Norte,7.339974725929962,87.62907910199918,3707.079617697213,0,0,2665.1542732533194,105.1699161893406,-1893.2097464953872
Soja,Norte,11.508660723880675,77.6500511497055,2930.08379857057,1,0,3595.0312269323736,129.09833859005096,-2109.2822480828054
Soja,Norte,4.650020921270356,62.13094499257965,2972.10263108722,1,0,2802.4565609626757,162.97210099396324,-2044.6328817573612
Arroz,Norte,4.42954633374449,114.24717124101616,1333.1376447810385,1,1,1206.3995722228717,39.20586502041849,-1032.7353765603957
Caña de Azúcar,Este,9.016649423763576,153.27498511480496,1366.8165890339244,1,0,2197.786843589327,173.13094280296184,-636.7258279293565
Maíz,Norte,4.605162460295961,58.729039326266545,3409.7637036044757,1,1,511.6776097264095,154.27541459876926,198.78573813043818
Soja,Oeste,8.67739145954232,187.28205914397208,3214.812209383203,1,0,4407.354981660141,93.53329272846504,-3595.7299861552865
Trigo,Centro,10.280420873645811,116.35283445966567,1850.9115800969157,1,0,880.3265345630687,187.92885207799185,1051.6611590998148
Soja,Norte,9.486881471489244,85.96810387361049,4784.778171526761,1,0,3187.7513701494377,198.36730576233032,-1305.8642525635446
Trigo,Este,5.746106205062989,64.08099351219376,4125.18420188481,1,0,4938.156481400668,56.900325809582704,-4611.201166196119
Trigo,Este,7.888919835761117,77.4298995660961,1453.858408069792,0,1,2914.6579069429963,88.26114529348408,-2218.372807110236
Soja,Norte,9.87435460672921,190.19209960095645,4723.71642274917,1,1,4658.187915983449,186.760896246148,-2814.0445997784213
Arroz,Centro,10.005472727017214,145.74058907650254,4896.992834137641,1,0,1562.5243990283195,149.88737913522988,-62.83031496668809
Trigo,Norte,6.553783321124373,127.504438613985,4983.724968121316,1,0,3919.7993402191355,28.657035913535786,-3731.9873362161425
Trigo,Este,9.690300765984851,148.56669927502503,1223.4846187094001,1,1,2890.695892880903,160.6726067152547,-1333.7300089552878
Soja,Sur,12.138161562233744,115.35093480168366,3948.1422271640354,1,1,3742.322276261592,169.02935969194854,-1690.6165995598003
Trigo,Oeste,9.084055173361097,159.5058974842728,3183.6630806599555,1,1,780.5361313005865,155.09034645775643,628.3131327773608
Trigo,Este,10.391938684823378,57.15741915374732,3823.3259355147784,1,1,1164.8259135780202,163.9166835655128,538.586211454385
Soja,Norte,8.173266555565657,134.90558157411144,4874.60777589654,1,0,1099.0261786436522,168.5238818047035,278.3644283248309
Soja,Oeste,6.276566604484879,73.79696714637365,3752.120040700156,1,1,3592.24477431499,53.55289762186594,-3256.1164455281887
Maíz,Norte,8.521320839661445,68.02469717084632,4347.855496949495,1,0,4299.983026851329,62.42451429169996,-3768.043712311722
Arroz,Norte,9.377031477454002,101.28195000746024,4467.474821243366,1,1,3873.273044038643,134.0765414696319,-2616.033094289738
Arroz,Sur,10.18873771801555,63.76985987201628,4353.9230550559405,0,1,637.1246873011737,183.41590348325286,1231.6518466025445
Trigo,Oeste,5.123953110738123,64.12354824028402,2704.3659001877645,0,1,4402.467414836255,76.91538481336903,-4008.356589558173
Arroz,Oeste,7.927786967251901,96.71199640869412,1890.3056702841222,1,1,2093.6600185690645,125.8952016431102,-1095.5896797432654
Trigo,Sur,10.51456517953799,196.9265792932263,2586.6064078170075,1,1,2287.237246268371,142.93677141508385,-784.3192466717492
Maíz,Este,9.674422924118488,76.29954048340078,4567.5876351071065,0,0,971.9112493961641,101.35074823382706,8.5987526937339
Soja,Norte,3.4003134795307206,52.574165274762535,1586.419286768102,1,0,3818.323427422186,148.48084187395867,-3313.4420193460946
Soja,Centro,13.246497355390462,164.50466345058663,3053.3046747695716,0,1,1320.2774531418113,181.94014015259117,1089.7921322288576
Soja,Norte,9.180295043079882,171.03694655761691,1932.9122896981112,0,1,3037.842914084764,132.33827795273078,-1822.938476985582
Arroz,Norte,6.275395697642271,101.94564816341011,3325.2216689071292,0,0,4283.19493645069,117.16059114463394,-3547.965866848429
Maíz,Este,11.461973616948905,119.70107194094172,4452.554087956016,0,1,901.4194792042529,98.97404156990103,233.01837403275704
Arroz,Norte,10.931071239107602,147.4660523964145,4521.439874553667,0,1,2909.010038069856,123.94752876310262,-1554.1307712490425
Arroz,Sur,10.768751548782728,57.20883862955506,1946.740774728315,1,0,1549.4738519741054,83.96524132731125,-645.2730293867069
Maíz,Sur,8.493439632138267,192.37185973870788,4630.7748253941845,0,1,2043.170889252171,90.46677983627035,-1274.7967559988654
Maíz,Oeste,10.082160896578062,183.00205809470714,3367.5549552851376,1,1,2632.864736437503,115.73434634387132,-1466.0124353383012
Maíz,Centro,8.361020623391848,89.1340435012571,2400.8729868012542,1,0,2097.969364756871,31.991440230347052,-1830.4882732189317
Maíz,Norte,10.88856629059952,52.295681043557714,3832.7247823327994,0,0,3419.702781312092,61.22457036646334,-2753.0549882633813
Soja,Norte,6.403078972287474,190.01544621192244,2926.6679518564615,0,0,2658.119457894126,117.7128759104136,-1904.3946173846716
Caña de Azúcar,Este,6.948695806043233,125.15598258728889,2511.950360489018,1,1,3128.8976812137616,97.67506576455968,-2450.183361380569
Caña de Azúcar,Sur,6.145420594402957,130.9066172600094,3820.3374571866393,0,0,3815.701139277108,79.90684146424718,-3324.6399901090313
Maíz,Centro,7.199690163315678,152.59456540972116,1994.8966177211519,0,0,3009.8401967769682,151.49884462567425,-1919.095455371811
Caña de Azúcar,Oeste,8.729792487380267,142.37767465848708,2321.0101160763943,1,0,3139.409455973416,144.8691693326009,-1874.7316698806567
Caña de Azúcar,Sur,8.813169750434666,191.58374068411356,2737.807377953085,1,0,3040.0634413518856,50.01153679880897,-2599.3032780638723
Maíz,Oeste,8.99028652585128,191.63773956877512,2014.7286954925548,0,0,2204.476816780802,178.15324076721888,-602.8281367745351
Caña de Azúcar,Este,12.355301926475502,180.07984003325058,2620.8083471256687,1,0,2018.5107524236314,109.17625275271382,-669.60518646265
Arroz,Este,12.349345470824687,145.46053961690168,3285.8921008200427,0,1,4548.413287152555,153.46296400502817,-2653.2461276777285
Trigo,Norte,5.966176930843551,170.14239420235995,3963.8954436426734,0,1,3233.9985003210777,123.16715286632996,-2499.161474252299
Trigo,Centro,6.702854768071827,151.57525135744726,4068.7794124342868,0,0,1599.5891995909453,199.5846708662918,-261.8021368407751
Maíz,Oeste,10.089249259608206,136.00505625079,4291.161407506773,1,0,2742.114640320231,155.4325616069881,-1173.9167832079197
